fusionGene	Gene1_vID	Gene2_vID	Gene3_vID	original.fusion.gene.id	V1	V2	V3	geneName	name	chrom	strand	exonCount	exonBases	exonIndexes	exonStarts	exonEnds	fusionType	fusionOptions	geneName_ID	external_gene_name	fusion.gene.id	Gene1_alternative_ID	Gene2_alternative_ID	Gene3_alternative_ID
ENSG00000291033.1::ENSG00000076003.5	ENSG00000291033.1	ENSG00000076003.5	NA	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA	ENSG00000291033	ENST00000407724.7	chrY	+	1	49	0	19567314	19567362	hybrid	symmetrical_exons	ENSG00000291033.1	TXLNGY	ENSG00000131002:ENSG00000076003	ENSG00000131002	ENSG00000076003	NA
ENSG00000291033.1::ENSG00000076003.5	ENSG00000291033.1	ENSG00000076003.5	NA	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA	ENSG00000291033	ENST00000407724.7	chrY	+	1	49	0	19567314	19567362	hybrid	symmetrical_exons	ENSG00000291033.1	TXLNGY	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA
ENSG00000291033.1::ENSG00000076003.5	ENSG00000291033.1	ENSG00000076003.5	NA	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA	ENSG00000076003	ENST00000264156.3	chr2	-	10	2500	0,1,2,3,4,5,6,7,8,9	13583962713584455e73	13584095113584464e73	hybrid	symmetrical_exons	ENSG00000076003.5	MCM6	ENSG00000131002:ENSG00000076003	ENSG00000131002	ENSG00000076003	NA
ENSG00000291033.1::ENSG00000076003.5	ENSG00000291033.1	ENSG00000076003.5	NA	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA	ENSG00000076003	ENST00000264156.3	chr2	-	10	2500	0,1,2,3,4,5,6,7,8,9	13583962713584455e73	13584095113584464e73	hybrid	symmetrical_exons	ENSG00000076003.5	MCM6	ENSG00000291033:ENSG00000076003	ENSG00000291033	ENSG00000076003	NA
ENSG00000077684.16::ENSG00000223768.4	ENSG00000077684.16	ENSG00000223768.4	NA	ENSG00000077684:ENSG00000223768	ENSG00000077684	ENSG00000223768	NA	ENSG00000077684	ENST00000511647.5	chr4	+	4	451	0,1,2,3	1288097041288317e20	12880987712883176e19	hybrid	symmetrical_exons	ENSG00000077684.16	JADE1	ENSG00000077684:ENSG00000223768	ENSG00000077684	ENSG00000223768	NA
ENSG00000077684.16::ENSG00000223768.4	ENSG00000077684.16	ENSG00000223768.4	NA	ENSG00000077684:ENSG00000223768	ENSG00000077684	ENSG00000223768	NA	ENSG00000223768	ENST00000400362.4	chr21	+	3	962	0,1,2	4528803845289352e8	45288165452894387e7	hybrid	symmetrical_exons	ENSG00000223768.4	LINC00205	ENSG00000077684:ENSG00000223768	ENSG00000077684	ENSG00000223768	NA
ENSG00000212498.1::ENSG00000253704.4	ENSG00000212498.1	ENSG00000253704.4	NA	ENSG00000212498:ENSG00000253704	ENSG00000212498	ENSG00000253704	NA	ENSG00000212498	ENST00000391196.1	chr20	+	1	25	0	2656098	2656122	hybrid	symmetrical_exons	ENSG00000212498.1	SNORD86	ENSG00000212498:ENSG00000253704	ENSG00000212498	ENSG00000253704	NA
ENSG00000212498.1::ENSG00000253704.4	ENSG00000212498.1	ENSG00000253704.4	NA	ENSG00000212498:ENSG00000253704	ENSG00000212498	ENSG00000253704	NA	ENSG00000253704	ENST00000658286.1	chr8	+	2	717	0,1	9455366994568144	9455390794568620	hybrid	symmetrical_exons	ENSG00000253704.4	VIRMA-DT	ENSG00000212498:ENSG00000253704	ENSG00000212498	ENSG00000253704	NA
ENSG00000163913.14::ENSG00000274814.1	ENSG00000163913.14	ENSG00000274814.1	NA	ENSG00000163913:ENSG00000274814	ENSG00000163913	ENSG00000274814	NA	ENSG00000163913	ENST00000689332.1	chr3	+	17	2193	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	12944013512945004e136	1294403711294499e137	hybrid	symmetrical_exons	ENSG00000163913.14	IFT122	ENSG00000163913:ENSG00000274814	ENSG00000163913	ENSG00000274814	NA
ENSG00000163913.14::ENSG00000274814.1	ENSG00000163913.14	ENSG00000274814.1	NA	ENSG00000163913:ENSG00000274814	ENSG00000163913	ENSG00000274814	NA	ENSG00000274814	ENST00000611461.1	chr15	-	1	114	0	28494976	28495089	hybrid	symmetrical_exons	ENSG00000274814.1	NA	ENSG00000163913:ENSG00000274814	ENSG00000163913	ENSG00000274814	NA
